EmployeeID,Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,ManagerID,Department
36,26,Yes,Travel_Rarely,8,3,Medical,1,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,775,Research & Development
37,37,No,Travel_Frequently,9,1,Marketing,1,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,2867,Sales
38,42,No,Travel_Frequently,2,2,Marketing,1,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,2565,Sales
39,18,Yes,Travel_Rarely,1,4,Life Sciences,1,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,1990,Research & Development
40,35,No,Travel_Rarely,20,2,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,570,Sales
41,36,No,Travel_Frequently,8,3,Other,1,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,3.0,,3.0,2,3,3057,Research & Development
42,51,No,Travel_Rarely,2,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,4171,Research & Development
43,41,No,Travel_Rarely,29,1,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,876,Research & Development
44,18,No,Travel_Rarely,7,3,Life Sciences,1,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,2970,Sales
45,28,No,Travel_Rarely,9,3,Medical,1,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,664,Research & Development
46,31,No,Travel_Rarely,8,1,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,2372,Research & Development
47,39,No,Travel_Rarely,5,4,Marketing,1,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,4334,Sales
48,36,No,Non-Travel,5,4,Life Sciences,1,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,2670,Research & Development
49,32,No,Travel_Rarely,2,3,Marketing,1,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,3905,Sales
50,38,No,Travel_Rarely,5,2,Life Sciences,1,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,1292,Research & Development
51,58,No,Non-Travel,2,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,265,Research & Development
52,31,No,Travel_Rarely,20,1,Technical Degree,1,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,244,Research & Development
53,31,No,Travel_Rarely,7,4,Marketing,1,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,1595,Sales
54,45,No,Travel_Frequently,3,1,Medical,1,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,2299,Research & Development
55,31,No,Travel_Rarely,16,4,Marketing,1,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,704,Sales
56,33,No,Travel_Frequently,9,3,Life Sciences,1,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,1593,Research & Development
57,39,No,Travel_Rarely,1,4,Life Sciences,1,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,991,Sales
58,43,No,Travel_Frequently,7,4,Medical,1,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,2858,Research & Development
59,49,No,Travel_Rarely,1,3,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,1601,Research & Development
60,52,Yes,Travel_Rarely,7,1,Life Sciences,1,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,3765,Research & Development
61,27,No,Travel_Rarely,15,4,Medical,1,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,4232,Research & Development
62,32,No,Travel_Rarely,1,3,Life Sciences,1,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,2340,Research & Development
63,27,No,Travel_Rarely,13,2,Medical,1,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,1084,Research & Development
64,31,No,Travel_Rarely,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,2509,Sales
65,32,No,Travel_Rarely,7,3,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,2701,Research & Development
66,28,Yes,Travel_Rarely,9,4,Medical,1,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,1497,Research & Development
67,30,No,Travel_Rarely,13,3,Life Sciences,1,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,2342,Research & Development
68,31,No,Travel_Frequently,2,1,Life Sciences,1,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,4317,Research & Development
69,39,No,Travel_Frequently,19,4,Medical,1,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,606,Research & Development
70,39,Yes,Travel_Rarely,1,1,Medical,1,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,1200,Research & Development
71,33,No,Travel_Frequently,4,2,Life Sciences,1,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,4035,Sales
72,47,No,Travel_Rarely,4,3,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,2127,Research & Development
73,43,No,Travel_Frequently,14,3,Medical,1,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,CEO,Research & Development
74,27,No,Non-Travel,2,3,Life Sciences,1,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,1174,Research & Development
75,54,No,Travel_Frequently,1,4,Life Sciences,1,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,3794,Research & Development
76,43,No,Travel_Rarely,7,2,Life Sciences,1,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,2801,Research & Development
77,45,No,Travel_Rarely,3,1,Marketing,1,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,2422,Sales
78,40,No,Travel_Rarely,2,4,Other,1,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,4328,Research & Development
79,29,Yes,Travel_Rarely,29,3,Medical,1,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,4140,Research & Development
80,29,No,Travel_Rarely,8,3,Medical,1,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,1451,Human Resources
81,30,No,Travel_Rarely,10,3,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,2544,Research & Development
82,27,No,Travel_Rarely,11,2,Medical,1,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,465,Research & Development
83,37,No,Travel_Rarely,1,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,1595,Sales
84,38,No,Travel_Rarely,28,4,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,91,Research & Development
85,31,No,Travel_Rarely,6,3,Medical,1,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,3.0,4.0,,3,3,1785,Research & Development
86,29,No,Travel_Rarely,3,4,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,2601,Research & Development
87,35,No,Travel_Rarely,16,2,Technical Degree,1,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,1250,Sales
88,23,No,Travel_Rarely,20,4,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,657,Research & Development
89,41,No,Travel_Rarely,9,2,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,1538,Research & Development
90,47,No,Travel_Frequently,1,3,Medical,1,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,3905,Sales
91,42,No,Travel_Rarely,3,4,Life Sciences,1,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,2129,Research & Development
92,29,No,Non-Travel,22,4,Marketing,1,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,1449,Sales
93,42,No,Travel_Rarely,7,4,Medical,1,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,3990,Sales
94,32,No,Travel_Rarely,2,3,Medical,1,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,3987,Research & Development
95,48,No,Travel_Rarely,13,4,Medical,1,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,2565,Sales
96,37,No,Travel_Rarely,8,5,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,4378,Research & Development
97,30,No,Non-Travel,25,4,Other,1,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,3892,Sales
98,26,No,Travel_Rarely,28,3,Medical,1,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,1064,Sales
99,42,No,Travel_Rarely,2,2,Medical,1,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,2422,Sales
100,21,Yes,Travel_Frequently,9,3,Medical,1,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,1084,Research & Development
101,36,No,Non-Travel,28,3,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,1223,Human Resources
102,36,No,Travel_Frequently,6,3,Life Sciences,1,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,4171,Research & Development
103,57,No,Travel_Rarely,21,4,Life Sciences,1,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,2342,Research & Development
104,40,No,Travel_Rarely,8,3,Other,1,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,3597,Research & Development
105,21,No,Non-Travel,1,5,Life Sciences,1,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,4228,Research & Development
106,33,Yes,Travel_Rarely,28,2,Human Resources,1,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,CEO,Human Resources
107,37,No,Travel_Rarely,5,3,Life Sciences,1,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,2858,Research & Development
108,46,No,Non-Travel,2,4,Marketing,1,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,2509,Sales
109,41,Yes,Travel_Frequently,16,1,Medical,1,Female,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,1552,Research & Development
110,50,No,Travel_Rarely,9,3,Medical,1,Female,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,612,Research & Development
111,40,Yes,Travel_Rarely,8,3,Medical,1,Female,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,3816,Research & Development
112,31,No,Travel_Rarely,1,3,Life Sciences,1,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2,,2.0,3.0,3,4,2913,Research & Development
113,21,Yes,Travel_Rarely,10,2,Human Resources,1,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,1380,Human Resources
114,29,No,Travel_Rarely,1,3,Life Sciences,1,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,245,Research & Development
115,35,No,Travel_Rarely,29,3,Life Sciences,1,Female,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,411,Research & Development
116,27,No,Travel_Rarely,2,3,Life Sciences,1,Male,1,Sales Executive,Divorced,23670,,Y,12,8,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3,1136,Sales
117,28,No,Travel_Rarely,2,2,Medical,1,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,3702,Research & Development
118,49,No,Travel_Rarely,2,3,Technical Degree,1,Male,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,953,Sales
119,51,No,Travel_Rarely,1,2,Life Sciences,1,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,3031,Research & Development
120,36,No,Travel_Rarely,15,2,Life Sciences,1,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,952,Sales
121,34,Yes,Non-Travel,7,3,Life Sciences,1,Male,1,Sales Representative,Single,56170,8.0,Y,25,8,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,2883,Research & Development
122,55,No,Travel_Rarely,26,3,Marketing,1,Male,1,Laboratory Technician,Single,104480,2.0,Y,13,8,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,2970,Sales
123,24,No,Travel_Rarely,1,3,Life Sciences,1,Female,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,3111,Research & Development
124,30,No,Travel_Rarely,3,3,Life Sciences,1,Female,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,3285,Research & Development
125,26,Yes,Travel_Frequently,14,3,Life Sciences,1,Male,2,Manager,Single,75100,0.0,Y,18,8,3,7.0,3,6,0,4,3.0,,3.0,3,3,3638,Sales
126,22,No,Travel_Rarely,16,5,Other,1,Male,1,Research Scientist,Married,29910,1.0,Y,19,8,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3,1914,Research & Development
127,36,No,Travel_Rarely,1,3,Medical,1,Female,5,Healthcare Representative,Married,196360,1.0,Y,12,8,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3,4024,Research & Development
128,30,Yes,Travel_Frequently,3,2,Marketing,1,Male,3,Research Scientist,Single,11290,9.0,Y,19,8,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3,87,Sales
129,37,No,Travel_Rarely,10,1,Technical Degree,1,Male,1,Sales Executive,Divorced,133410,1.0,Y,14,8,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3,874,Research & Development
130,40,No,Travel_Rarely,6,2,Medical,1,Male,3,Research Scientist,Divorced,43320,7.0,Y,14,8,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3,3263,Research & Development
131,42,No,Travel_Rarely,2,3,Medical,1,Female,4,Manager,Divorced,110310,3.0,Y,12,8,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3,1648,Research & Development
132,37,No,Travel_Rarely,9,1,Marketing,1,Male,3,Sales Executive,Single,44400,2.0,Y,11,8,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3,3990,Sales
133,43,No,Travel_Rarely,10,2,Life Sciences,1,Female,1,Sales Executive,Divorced,46170,1.0,Y,11,8,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3,2606,Sales
134,40,No,Travel_Rarely,6,2,Life Sciences,1,Female,1,Laboratory Technician,Married,26470,6.0,Y,13,8,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3,991,Sales
135,54,No,Travel_Rarely,9,3,Life Sciences,1,Female,2,Manufacturing Director,Married,63230,4.0,Y,23,8,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4,2084,Human Resources
136,34,No,Non-Travel,28,3,Medical,1,Male,1,Laboratory Technician,Married,56770,9.0,Y,20,8,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4,3189,Research & Development
137,31,No,Travel_Rarely,10,4,Life Sciences,1,Male,3,Sales Executive,Married,21870,1.0,Y,15,8,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3,883,Research & Development
138,43,No,Travel_Frequently,14,3,Life Sciences,1,Female,1,Manufacturing Director,Married,37480,7.0,Y,14,8,2,,3,3,1,2,4.0,4.0,3.0,2,3,3238,Sales
139,43,No,Travel_Rarely,27,4,Life Sciences,1,Male,2,Sales Representative,Divorced,39770,4.0,Y,18,8,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3,125,Sales
140,25,No,Travel_Rarely,7,2,Human Resources,1,Male,1,Manufacturing Director,Single,86330,1.0,Y,19,8,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3,4163,Human Resources
141,37,No,Non-Travel,1,3,Medical,1,Male,3,Laboratory Technician,Married,20080,3.0,Y,22,8,0,15.0,5,13,10,7,2.0,3.0,3.0,2,4,1714,Research & Development
142,31,No,Travel_Rarely,24,1,Medical,1,Male,3,Laboratory Technician,Married,44400,1.0,Y,13,8,1,4.0,2,4,3,2,4.0,1.0,3.0,3,3,3205,Research & Development
143,39,No,Travel_Frequently,26,4,Technical Degree,1,Female,1,Sales Executive,Divorced,30670,1.0,Y,20,8,1,21.0,5,21,1,6,2.0,3.0,3.0,1,4,1340,Research & Development
